Points_MT10-01_field_temperature,Points_MT10-02_field_temperature,Points_MT10-03_field_temperature,Points_MT10-04_field_temperature,Points_MT10-05_field_temperature,Points_MT10-06_field_temperature,Points_MT10-07_field_temperature,Points_MT10-08_field_temperature,Points_MT10-09_field_temperature,Points_MT10-10_field_temperature,time
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.6000000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.6600000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.7200000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.7800000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.8400000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.9000000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.9600000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,4.0200000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,4.0800000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,4.1400000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,4.2000000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,4.2600000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,4.3200000000000000e+04
