,t,k=0,k=1,k=2
330,3.3000000000000003,-11.840434636751322,-11.840434636751322,-11.840434636751322
331,3.31,-12.396511024422939,-12.396511024422939,-12.396511024422939
332,3.3200000000000003,-12.939407380630723,-12.939407380630723,-12.939407380630723
333,3.33,-13.458592025097337,-13.458592025097337,-13.458592025097337
334,3.34,-13.941984820883913,-13.941984820883913,-13.941984820883913
335,3.35,-14.37611961646337,-14.37611961646337,-14.37611961646337
336,3.36,-14.746456998128792,-14.746456998128792,-14.746456998128792
337,3.37,-15.037872726898824,-15.037872726898824,-15.037872726898824
338,3.38,-15.235334501965907,-15.235334501965907,-15.235334501965907
339,3.39,-15.32475871334189,-15.32475871334189,-15.32475871334189
340,3.4,-15.29400998362273,-15.29400998362273,-15.29400998362273
341,3.41,-15.133972273839516,-15.133972273839516,-15.133972273839516
342,3.42,-14.839586713802975,-14.839586713802975,-14.839586713802975
343,3.43,-14.41072621349025,-14.41072621349025,-14.41072621349025
344,3.44,-13.852769428980157,-13.852769428980157,-13.852769428980157
345,3.45,-13.176754216958592,-13.176754216958592,-13.176754216958592
346,3.46,-12.39903583110905,-12.39903583110905,-12.39903583110905
347,3.47,-11.54044293157876,-11.54044293157876,-11.54044293157876
348,3.48,-10.625002479590561,-10.625002479590561,-10.625002479590561
349,3.49,-9.678375312465079,-9.678375312465079,-9.678375312465079
350,3.5,-8.726190408068069,-8.726190408068069,-8.726190408068069
351,3.5100000000000002,-7.7924762827503224,-7.7924762827503224,-7.7924762827503224
352,3.52,-6.898361151030548,-6.898361151030548,-6.898361151030548
353,3.5300000000000002,-6.061157958404434,-6.061157958404434,-6.061157958404434
354,3.54,-5.2938813611569815,-5.2938813611569815,-5.2938813611569815
355,3.5500000000000003,-4.605177632746549,-4.605177632746549,-4.605177632746549
356,3.56,-3.999598114096639,-3.999598114096639,-3.999598114096639
357,3.5700000000000003,-3.4781185274307673,-3.4781185274307673,-3.4781185274307673
358,3.58,-3.0388000163728366,-3.0388000163728366,-3.0388000163728366
359,3.59,-2.677498272002831,-2.677498272002831,-2.677498272002831
360,3.6,-2.388547652159076,-2.388547652159076,-2.388547652159076
361,3.61,-2.1653711836558363,-2.1653711836558363,-2.1653711836558363
362,3.62,-2.00098981221346,-2.00098981221346,-2.00098981221346
363,3.63,-1.8884223916415872,-1.8884223916415872,-1.8884223916415872
364,3.64,-1.8209806896501854,-1.8209806896501854,-1.8209806896501854
365,3.65,-1.7924714192229305,-1.7924714192229305,-1.7924714192229305
366,3.66,-1.797320948170231,-1.797320948170231,-1.797320948170231
367,3.67,-1.8306390709152194,-1.8306390709152194,-1.8306390709152194
368,3.68,-1.8882371361026584,-1.8882371361026584,-1.8882371361026584
369,3.69,-1.9666137770697076,-1.9666137770697076,-1.9666137770697076
370,3.7,-2.062919099340385,-2.062919099340385,-2.062919099340385
371,3.71,-2.174905822313785,-2.174905822313785,-2.174905822313785
372,3.72,-2.3008737584273486,-2.3008737584273486,-2.3008737584273486
373,3.73,-2.4396122290888558,-2.4396122290888558,-2.4396122290888558
374,3.74,-2.5903435748296504,-2.5903435748296504,-2.5903435748296504
375,3.75,-2.7526697889868634,-2.7526697889868634,-2.7526697889868634
376,3.7600000000000002,-2.9265234431836618,-2.9265234431836618,-2.9265234431836618
377,3.77,-3.1121234278182457,-3.1121234278182457,-3.1121234278182457
378,3.7800000000000002,-3.3099355533155985,-3.3099355533155985,-3.3099355533155985
379,3.79,-3.520637705629333,-3.520637705629333,-3.520637705629333
380,3.8000000000000003,-3.745088986811705,-3.745088986811705,-3.745088986811705
381,3.81,-3.984302069257407,-3.984302069257407,-3.984302069257407
382,3.8200000000000003,-4.239417826918787,-4.239417826918787,-4.239417826918787
383,3.83,-4.5116811594845325,-4.5116811594845325,-4.5116811594845325
384,3.84,-4.802416781181416,-4.802416781181416,-4.802416781181416
385,3.85,-5.113003592861738,-5.113003592861738,-5.113003592861738
386,3.86,-5.444846086036377,-5.444846086036377,-5.444846086036377
387,3.87,-5.79934103584171,-5.79934103584171,-5.79934103584171
388,3.88,-6.177837526570117,-6.177837526570117,-6.177837526570117
389,3.89,-6.58158812466971,-6.58158812466971,-6.58158812466971
390,3.9,-7.0116887852830585,-7.0116887852830585,-7.0116887852830585
391,3.91,-7.469004877301702,-7.469004877301702,-7.469004877301702
392,3.92,-7.954080583899961,-7.954080583899961,-7.954080583899961
393,3.93,-8.467028949479568,-8.467028949479568,-8.467028949479568
394,3.94,-9.007400099332113,-9.007400099332113,-9.007400099332113
395,3.95,-9.57402579197372,-9.57402579197372,-9.57402579197372
396,3.96,-10.164839655275625,-10.164839655275625,-10.164839655275625
397,3.97,-10.77667442736089,-10.77667442736089,-10.77667442736089
398,3.98,-11.405040523334621,-11.405040523334621,-11.405040523334621
399,3.99,-12.043894530622012,-12.043894530622012,-12.043894530622012
400,4.0,-12.685411989890847,-12.685411989890847,-12.685411989890847
401,4.01,-13.319786074575964,-13.319786074575964,-13.319786074575964
402,4.0200000000000005,-13.935082258251327,-13.935082258251327,-13.935082258251327
403,4.03,-14.51718796934851,-14.51718796934851,-14.51718796934851
404,4.04,-15.049904077829575,-15.049904077829575,-15.049904077829575
405,4.05,-15.515229472271756,-15.515229472271756,-15.515229472271756
406,4.0600000000000005,-15.893887757545981,-15.893887757545981,-15.893887757545981
407,4.07,-16.166132542510486,-16.166132542510486,-16.166132542510486
408,4.08,-16.31284159874411,-16.31284159874411,-16.31284159874411
409,4.09,-16.31686890247339,-16.31686890247339,-16.31686890247339
410,4.1,-16.164569437836228,-16.164569437836228,-16.164569437836228
411,4.11,-15.8473521370546,-15.8473521370546,-15.8473521370546
