,t,x,y,z
402,4.0200000000000005,-9.072089569900973,-13.935082258251327,19.836676220722087
403,4.03,-9.563347974447387,-14.51718796934851,20.62343637685865
404,4.04,-10.060998495268494,-15.049904077829575,21.513082122781054
405,4.05,-10.558874526692145,-15.515229472271756,22.502935440712893
406,4.0600000000000005,-11.049616322287465,-15.893887757545981,23.58653521290419
407,4.07,-11.524699844096649,-16.166132542510486,24.752978818613087
408,4.08,-11.974553538327605,-16.31284159874411,25.986440263151177
409,4.09,-12.388781044509216,-16.31686890247339,27.26598607239038
410,4.1,-12.756500642989892,-16.164569437836228,28.565809762421246
411,4.11,-13.066800234982635,-15.8473521370546,29.855979736205096
412,4.12,-13.309290374035871,-15.36306465291977,31.103739073823707
413,4.13,-13.474719286423683,-14.716986820585047,32.27531142342074
414,4.14,-13.555596328795056,-13.922223855651518,33.33806778573416
415,4.15,-13.546758242773386,-12.999354271755019,34.26281678276442
416,4.16,-13.44580998504172,-11.975296303762631,35.02592289817067
417,4.17,-13.253381318508643,-10.88148960878687,35.61095555573066
418,4.18,-12.973161401399604,-9.75161391928446,36.00963501999754
419,4.19,-12.61170276367422,-8.61914951812123,36.22195762110403
420,4.2,-12.178017348305632,-7.515103200078299,36.25552399903266
421,4.21,-11.683014065890283,-6.466174600536256,36.12422354136497
422,4.22,-11.138844248025354,-5.49353840677821,35.84651485846906
423,4.23,-10.55822599344229,-4.612297793290657,35.44357037692472
424,4.24,-9.953811411033188,-3.831554509875734,34.937525884929585
425,4.25,-9.33764543013122,-3.1549637026694795,34.350010375155584
426,4.26,-8.720745595082432,-2.5816054972197113,33.701050883504074
427,4.2700000000000005,-8.11281329101713,-2.107006841740988,33.00837186154625
428,4.28,-7.52207118756274,-1.7241746271524956,32.28705211817732
429,4.29,-6.955210843142681,-1.4245411191594215,31.549469176513263
430,4.3,-6.417428535653587,-1.1987638220835573,30.805449014324882
431,4.3100000000000005,-5.912525714283794,-1.0373566850044402,30.062542957464572
432,4.32,-5.443051817128644,-0.931154824082386,29.326366470746557
433,4.33,-5.010470349868966,-0.8716305301466594,28.60095115736336
434,4.34,-4.61533305024735,-0.8510858857508127,27.88907754399787
435,4.3500000000000005,-4.257450940406924,-0.8627491056564623,27.19257001391911
436,4.36,-3.936054649544589,-0.9007999296577781,26.512545720101294
