,t,k=0,k=1,k=2
199,1.99,-8.778841988662872,-8.778841988662872,-8.778841988662872
200,2.0,-9.133319439445982,-9.133319439445982,-9.133319439445982
201,2.0100000000000002,-9.49000044991196,-9.49000044991196,-9.49000044991196
202,2.02,-9.844849567949733,-9.844849567949733,-9.844849567949733
203,2.0300000000000002,-10.193271003896902,-10.193271003896902,-10.193271003896902
204,2.04,-10.530143876213288,-10.530143876213288,-10.530143876213288
205,2.05,-10.849894357880252,-10.849894357880252,-10.849894357880252
206,2.06,-11.146609507315585,-11.146609507315585,-11.146609507315585
207,2.07,-11.414194922249731,-11.414194922249731,-11.414194922249731
208,2.08,-11.646574535136622,-11.646574535136622,-11.646574535136622
209,2.09,-11.837926077647868,-11.837926077647868,-11.837926077647868
210,2.1,-11.982940460039304,-11.982940460039304,-11.982940460039304
211,2.11,-12.077088288061082,-12.077088288061082,-12.077088288061082
212,2.12,-12.116872903031453,-12.116872903031453,-12.116872903031453
213,2.13,-12.100047608183205,-12.100047608183205,-12.100047608183205
214,2.14,-12.025775832670996,-12.025775832670996,-12.025775832670996
215,2.15,-11.894717121233459,-11.894717121233459,-11.894717121233459
216,2.16,-11.709028661033182,-11.709028661033182,-11.709028661033182
217,2.17,-11.472280618427364,-11.472280618427364,-11.472280618427364
218,2.18,-11.189292501412272,-11.189292501412272,-11.189292501412272
219,2.19,-10.865905633132067,-10.865905633132067,-10.865905633132067
220,2.2,-10.508712404165532,-10.508712404165532,-10.508712404165532
221,2.21,-10.124765559148134,-10.124765559148134,-10.124765559148134
222,2.22,-9.721290280048395,-9.721290280048395,-9.721290280048395
223,2.23,-9.305418730892738,-9.305418730892738,-9.305418730892738
224,2.24,-8.883961879471165,-8.883961879471165,-8.883961879471165
225,2.25,-8.463227796295511,-8.463227796295511,-8.463227796295511
226,2.2600000000000002,-8.048890148244526,-8.048890148244526,-8.048890148244526
227,2.27,-7.645905918264876,-7.645905918264876,-7.645905918264876
228,2.2800000000000002,-7.2584778667168335,-7.2584778667168335,-7.2584778667168335
229,2.29,-6.890055006767841,-6.890055006767841,-6.890055006767841
230,2.3000000000000003,-6.543363293384643,-6.543363293384643,-6.543363293384643
231,2.31,-6.220458598771384,-6.220458598771384,-6.220458598771384
232,2.32,-5.9227945958027775,-5.9227945958027775,-5.9227945958027775
233,2.33,-5.6512991334218,-5.6512991334218,-5.6512991334218
234,2.34,-5.406453844404002,-5.406453844404002,-5.406453844404002
235,2.35,-5.188372912001805,-5.188372912001805,-5.188372912001805
236,2.36,-4.996878028476064,-4.996878028476064,-4.996878028476064
237,2.37,-4.831567543007636,-4.831567543007636,-4.831567543007636
238,2.38,-4.691878592254646,-4.691878592254646,-4.691878592254646
239,2.39,-4.577141631666212,-4.577141631666212,-4.577141631666212
240,2.4,-4.48662725232824,-4.48662725232824,-4.48662725232824
241,2.41,-4.4195854970588,-4.4195854970588,-4.4195854970588
242,2.42,-4.375278103828081,-4.375278103828081,-4.375278103828081
243,2.43,-4.353004227007148,-4.353004227007148,-4.353004227007148
244,2.44,-4.352120237865298,-4.352120237865298,-4.352120237865298
245,2.45,-4.3720542025260825,-4.3720542025260825,-4.3720542025260825
246,2.46,-4.41231559245727,-4.41231559245727,-4.41231559245727
247,2.47,-4.472500710728444,-4.472500710728444,-4.472500710728444
248,2.48,-4.552294225358999,-4.552294225358999,-4.552294225358999
249,2.49,-4.651467095650943,-4.651467095650943,-4.651467095650943
250,2.5,-4.769871063453949,-4.769871063453949,-4.769871063453949
251,2.5100000000000002,-4.907429762843526,-4.907429762843526,-4.907429762843526
252,2.52,-5.064126382280413,-5.064126382280413,-5.064126382280413
253,2.5300000000000002,-5.2399876967196,-5.2399876967196,-5.2399876967196
254,2.54,-5.435064177965718,-5.435064177965718,-5.435064177965718
