,t,k=0,k=1,k=2
1362,13.620000000000001,18.049537976501405,18.049537976501405,22.44775890075206
1363,13.63,17.723939856188398,17.723939856188398,21.857779992440168
1364,13.64,17.42487260128132,17.42487260128132,21.286603366654766
1365,13.65,17.154101447194357,17.154101447194357,20.73342164417804
1366,13.66,16.913722104695232,16.913722104695232,20.19756016842783
1367,13.67,16.70619643786113,16.70619643786113,19.67846194786927
1368,13.68,16.53439046651772,16.53439046651772,19.175675226488007
1369,13.69,16.40161317756958,16.40161317756958,18.6888440307819
1370,13.700000000000001,16.311653916794853,16.311653916794853,18.21770179273097
1371,13.71,16.26881516844952,16.26881516844952,17.7620680214897
1372,13.72,16.277936269528478,16.277936269528478,17.3218479528451
1373,13.73,16.344402013927102,16.344402013927102,16.897035116448226
1374,13.74,16.474128169845944,16.474128169845944,16.487716806645274
1375,13.75,16.673513702623783,16.673513702623783,16.094082509997943
1376,13.76,16.949347091990482,16.949347091990482,15.716435422457437
1377,13.77,17.308651819358637,17.308651819358637,15.355207275854841
1378,13.780000000000001,17.7584543326137,17.7584543326137,15.010976782864363
1379,13.790000000000001,18.305457282523918,18.305457282523918,14.684492098491656
1380,13.8,18.95560257286155,18.95560257286155,14.376697780620598
1381,13.81,19.713514067664264,19.713514067664264,14.088766806884193
1382,13.82,20.58182011125474,20.58182011125474,13.82213826201187
1383,13.83,21.560372664575933,21.560372664575933,13.578561336468207
1384,13.84,22.64540349876173,22.64540349876173,13.360146255058831
1385,13.85,23.828687705029417,23.828687705029417,13.169422656013037
1386,13.86,25.096817574514713,25.096817574514713,13.009405727917883
1387,13.870000000000001,26.430719306516863,26.430719306516863,12.883670029399239
1388,13.88,27.805561436077955,27.805561436077955,12.79643029058903
1389,13.89,29.191195861802186,29.191195861802186,12.752627528236921
1390,13.9,30.553229740146964,30.553229740146964,12.758017372701296
1391,13.91,31.854745265213552,31.854745265213552,12.819255452471607
1392,13.92,33.05857159731027,33.05857159731027,12.943971836754956
1393,13.93,34.12988980210338,34.12988980210338,13.140822723061119
1394,13.94,35.03884956186838,35.03884956186838,13.419502636135334
1395,13.950000000000001,35.76282963102623,35.76282963102623,13.790694348946591
1396,13.96,36.28800551095048,36.28800551095048,14.265926748921535
1397,13.97,36.6099980987368,36.6099980987368,14.857303569857244
1398,13.98,36.73354070834879,36.73354070834879,15.577059569383293
1399,13.99,36.67127530882506,36.67127530882506,16.436897580938172
1400,14.0,36.44192635750051,36.44192635750051,17.447063338489453
1401,14.01,36.068170941030274,36.068170941030274,18.615129743006463
1402,14.02,35.57451956480151,35.57451956480151,19.94449379759886
1403,14.030000000000001,34.98545783900525,34.98545783900525,21.432642738840098
1404,14.040000000000001,34.32400347846889,34.32400347846889,23.069322768748336
1405,14.05,33.61073453900005,33.61073453900005,24.83483907778735
1406,14.06,32.86326492270352,32.86326492270352,26.698813038652567
1407,14.07,32.09609188717729,32.09609188717729,28.61979111962618
1408,14.08,31.320717598453385,31.320717598453385,30.54609863178439
1409,14.09,30.545946486438524,30.545946486438524,32.418218820453056
1410,14.1,29.778273901356,29.778273901356,34.17273449104017
1411,14.11,29.022301601254323,29.022301601254323,35.74752108026019
1412,14.120000000000001,28.281136269227332,28.281136269227332,37.087510124987844
1413,14.13,27.556745234241152,27.556745234241152,38.150075924121396
1414,14.14,26.850257438619977,26.850257438619977,38.90905610269332
1415,14.15,26.162207332931,26.162207332931,39.356652176735004
1416,14.16,25.49272536005342,25.49272536005342,39.502915732145844
1417,14.17,24.841681857437603,24.841681857437603,39.373062052005004
1418,14.18,24.208792406031705,24.208792406031705,39.00328903733529
1419,14.19,23.593692604126293,23.593692604126293,38.435988630148415
1420,14.200000000000001,22.995989491469697,22.995989491469697,37.7151933015688
1421,14.21,22.415295775745992,22.415295775745992,36.88286726977946
1422,14.22,21.85125186577632,21.85125186577632,35.97634270582007
1423,14.23,21.303539636992383,21.303539636992383,35.026918581542674
1424,14.24,20.771890916900023,20.771890916900023,34.05944526352263
1425,14.25,20.256092907292583,20.256092907292583,33.09262556955384
1426,14.26,19.755992154253864,19.755992154253864,32.13975407136401
1427,14.27,19.271498220262526,19.271498220262526,31.20965899606724
1428,14.280000000000001,18.802587882514057,18.802587882514057,30.30767491729356
1429,14.290000000000001,18.349310454325035,18.349310454325035,29.43653825886643
1430,14.3,17.91179468025127,17.91179468025127,28.597150137495195
1431,14.31,17.490257571345765,17.490257571345765,27.78918860799079
1432,14.32,17.085015509072562,17.085015509072562,27.011575906097434
1433,14.33,16.69649794205752,16.69649794205752,26.26281880163072
1434,14.34,16.32526401881632,16.32526401881632,25.54124504964429
1435,14.35,15.972022533253119,15.972022533253119,24.845159078674982
1436,14.36,15.637655600273902,15.637655600273902,24.172937667534153
1437,14.370000000000001,15.323246518326481,15.323246518326481,23.52308290369597
1438,14.38,15.030112304778,15.030112304778,22.89424607911355
1439,14.39,14.759841396867168,14.759841396867168,22.28523284379602
1440,14.4,14.51433697942936,14.51433697942936,21.694997115805872
1441,14.41,14.295866308502378,14.295866308502378,21.122628990009762
1442,14.42,14.107116216710239,14.107116216710239,20.56734016188574
1443,14.43,13.951254670364685,13.951254670364685,20.028449112439134
1444,14.44,13.831997743896942,13.831997743896942,19.505367399696265
1445,14.450000000000001,13.753680612065834,13.753680612065834,18.997587788714387
1446,14.46,13.7213300430406,13.7213300430406,18.504674553546025
1447,14.47,13.740734295901788,13.740734295901788,18.026256042095138
1448,14.48,13.818504160412896,13.818504160412896,17.562019462087175
1449,14.49,13.962116000434847,13.962116000434847,17.11170778862758
1450,14.5,14.179923976935124,14.179923976935124,16.675118685731107
1451,14.51,14.481124109540513,14.481124109540513,16.25210535802868
1452,14.52,14.875647619902303,14.875647619902303,15.842579292681938
1453,14.530000000000001,15.373955494032495,15.373955494032495,15.446514907771329
1454,14.540000000000001,15.98670125039625,15.98670125039625,15.063956187607713
1455,14.55,16.72422598282259,16.72422598282259,14.695025455252443
1456,14.56,17.595851148713564,17.595851148713564,14.339934507138402
1457,14.57,18.60894345718742,18.60894345718742,13.998998414013029
1458,14.58,19.7677464058673,19.7677464058673,13.67265237675084
1459,14.59,21.07200827497819,21.07200827497819,13.361472115049853
1460,14.6,22.51548888954432,22.51548888954432,13.066198361146633
1461,14.61,24.08449541527874,24.08449541527874,12.787766127740282
1462,14.620000000000001,25.756672171187333,25.756672171187333,12.527339515563309
1463,14.63,27.500332952115386,27.500332952115386,12.28635291461161
1464,14.64,29.274649611739484,29.274649611739484,12.066559522432433
1465,14.65,31.03096679313795,31.03096679313795,11.870088134781971
1466,14.66,32.715376710593645,32.715376710593645,11.699509130445078
1467,14.67,34.272460759383236,34.272460759383236,11.557910431550933
1468,14.68,35.649824871755875,35.649824871755875,11.44898391324593
1469,14.69,36.8027990367884,36.8027990367884,11.377122177252703
1470,14.700000000000001,37.6985312121924,37.6985312121924,11.347524675888923
1471,14.71,38.318753151022825,38.318753151022825,11.366310720606068
1472,14.72,38.66074101777044,38.66074101777044,11.440634731492965
1473,14.73,38.73637208111873,38.73637208111873,11.57879593649866
1474,14.74,38.5695721781555,38.5695721781555,11.790330334549827
1475,14.75,38.19273648477668,38.19273648477668,12.086066822817264
1476,14.76,37.64281589750523,37.64281589750523,12.478121763869984
1477,14.77,36.9576917166437,36.9576917166437,12.979796964078687
1478,14.780000000000001,36.17326957917732,36.17326957917732,13.605335535023535
1479,14.790000000000001,35.321490610166975,35.321490610166975,14.36947969830984
1480,14.8,34.4292530331177,34.4292530331177,15.286766806688181
1481,14.81,33.51809971526351,33.51809971526351,16.370498968019966
1482,14.82,32.604463211242724,32.604463211242724,17.63133401719571
1483,14.83,31.70025534865725,31.70025534865725,19.075479353390055
1484,14.84,30.813620530574937,30.813620530574937,20.702533901010696
1485,14.85,29.949719446700623,29.949719446700623,22.503122725689856
1486,14.86,29.111457701995654,29.111457701995654,24.456600474015524
1487,14.870000000000001,28.30011375661176,28.30011375661176,26.52924456182898
1488,14.88,27.51584966494934,27.51584966494934,28.67347566544373
1489,14.89,26.758106859497914,26.758106859497914,30.828669648614454
1490,14.9,26.02589965418358,26.02589965418358,32.92399447423986
1491,14.91,25.318023628689566,25.318023628689566,34.8833780930078
1492,14.92,24.63319674007751,24.63319674007751,36.632216987374335
1493,14.93,23.97014954572727,23.97014954572727,38.10489133192371
1494,14.94,23.32767846228995,23.32767846228995,39.25175599363171
1495,14.950000000000001,22.70467325603731,22.70467325603731,40.04421751858946
1496,14.96,22.100127373808213,22.100127373808213,40.47686890308982
1497,14.97,21.513137481060227,21.513137481060227,40.56634504224306
1498,14.98,20.942896741788935,20.942896741788935,40.3473422657419
1499,14.99,20.388684945933278,20.388684945933278,39.866840224389996
1500,15.0,19.849857517076735,19.849857517076735,39.17779583799882
1501,15.01,19.325834656050937,19.325834656050937,38.33343557864471
1502,15.02,18.816091332702054,18.816091332702054,37.382882306835995
1503,15.030000000000001,18.32014847273601,18.32014847273601,36.368396523419506
1504,15.040000000000001,17.837565452138016,17.837565452138016,35.32413548644544
1505,15.05,17.36793387041677,17.36793387041677,34.27610714261419
1506,15.06,16.91087249675889,16.91087249675889,33.24291802152531
1507,15.07,16.466023248424992,16.466023248424992,32.23694303217386
1508,15.08,16.033048052748594,16.033048052748594,31.26562886896852
1509,15.09,15.611626452007961,15.611626452007961,30.33273992174124
1510,15.1,15.201453826892225,15.201453826892225,29.43944120992626
1511,15.11,14.802240134553104,14.802240134553104,28.58517663282307
1512,15.120000000000001,14.413709078458812,14.413709078458812,27.768342070054118
1513,15.13,14.035597647869372,14.035597647869372,26.98677562484011
1514,15.14,13.667655984016223,13.667655984016223,26.23809695876988
1515,15.15,13.309647547837464,13.309647547837464,25.519929123123042
1516,15.16,12.961349580588484,12.961349580588484,24.83003328671082
1517,15.17,12.622553864226557,12.622553864226557,24.166381815675436
1518,15.18,12.293067803697742,12.293067803697742,23.527189803920734
1519,15.19,11.972715868759238,11.972715868759238,22.91092020093713
1520,15.200000000000001,11.661341449436689,11.661341449436689,22.316273495529284
1521,15.21,11.358809197391459,11.358809197391459,21.742169578593845
1522,15.22,11.065007946176403,11.065007946176403,21.18772687278022
1523,15.23,10.779854327500262,10.779854327500262,20.65224196597274
1524,15.24,10.503297229227,10.503297229227,20.1351716862471
1525,15.25,10.235323275079384,10.235323275079384,19.63611868208784
1526,15.26,9.97596354724342,9.97596354724342,19.15482101426158
1527,15.27,9.725301822833423,9.725301822833423,18.691145936268367
1528,15.280000000000001,9.483484655252784,9.483484655252784,18.245087869809634
1529,15.290000000000001,9.250733703881382,9.250733703881382,17.816770518343052
1530,15.3,9.027360802458125,9.027360802458125,17.406453067537516
1531,15.31,8.81378636037619,8.81378636037619,17.014540468967798
1532,15.32,8.610561814247735,8.610561814247735,16.64159787312121
1533,15.33,8.4183969916537,8.4183969916537,16.288369355329003
1534,15.34,8.238193416405027,8.238193416405027,15.955801152113533
1535,15.35,8.071084774901841,8.071084774901841,15.645069685108174
