,t,x,y
123,1.23,-0.02655838177050336,-0.04000000000000001
124,1.24,-0.016617880563499294,-0.04000000000000001
125,1.25,-0.006635843309511376,-0.04000000000000001
126,1.26,0.00336278009686993,-0.04000000000000001
127,1.27,0.013352998304311081,-0.04000000000000001
128,1.28,0.02330984097009872,-0.04000000000000001
129,1.29,0.03320842117299161,-0.04000000000000001
130,1.3,0.04302399761756309,-0.04000000000000001
131,1.31,0.052732036474555835,-0.04000000000000001
132,1.32,0.06230827270267556,-0.04000000000000001
133,1.33,0.07172877069856007,-0.04000000000000001
134,1.34,0.08096998412331982,-0.04000000000000001
135,1.35,0.09000881475612352,-0.04000000000000001
136,1.36,0.09882267022772179,-0.04000000000000001
137,1.37,0.10738952048960221,-0.04000000000000001
138,1.3800000000000001,0.11568795287764003,-0.04000000000000001
139,1.3900000000000001,0.12369722563260493,-0.04000000000000001
140,1.4000000000000001,0.1313973197437581,-0.04000000000000001
141,1.41,0.1387689889859526,-0.04000000000000001
142,1.42,0.14579380802517516,-0.04000000000000001
143,1.43,0.15245421847228224,-0.04000000000000001
144,1.44,0.15873357276983052,-0.04000000000000001
145,1.45,0.1646161758023011,-0.04000000000000001
146,1.46,0.1700873241257128,-0.04000000000000001
147,1.47,0.17513334271857645,-0.04000000000000001
148,1.48,0.1797416191623254,-0.04000000000000001
149,1.49,0.18390063516579422,-0.04000000000000001
150,1.5,0.18759999535494776,-0.04000000000000001
151,1.51,0.19083045325590292,-0.04000000000000001
152,1.52,0.1935839344062973,-0.04000000000000001
153,1.53,0.19585355653724001,-0.04000000000000001
154,1.54,0.1976336467754001,-0.04000000000000001
155,1.55,0.19891975582223523,-0.04000000000000001
156,1.56,0.19970866907492102,-0.04000000000000001
157,1.57,0.19999841466118376,-0.04000000000000001
158,1.58,0.1997882683679544,-0.04000000000000001
159,1.59,0.19907875545152398,-0.04000000000000001
160,1.6,0.19787164932467638,-0.04000000000000001
161,1.61,0.1961699671240799,-0.04000000000000001
162,1.62,0.1939779621690172,-0.04000000000000001
163,1.6300000000000001,0.19130111333030184,-0.04000000000000001
164,1.6400000000000001,0.18814611133595452,-0.04000000000000001
165,1.6500000000000001,0.18452084204786806,-0.04000000000000001
166,1.6600000000000001,0.18043436675125868,-0.04000000000000001
167,1.67,0.175896899506173,-0.04000000000000001
168,1.68,0.1709197816176561,-0.04000000000000001
169,1.69,0.1655154532883968,-0.04000000000000001
170,1.7,0.1596974225246981,-0.04000000000000001
171,1.71,0.15348023137349748,-0.04000000000000001
172,1.72,0.1468794195748227,-0.04000000000000001
173,1.73,0.13991148572053363,-0.04000000000000001
174,1.74,0.13259384601643667,-0.04000000000000001
175,1.75,0.12494479075083849,-0.04000000000000001
176,1.76,0.11698343857835235,-0.04000000000000001
177,1.77,0.1087296887332177,-0.04000000000000001
178,1.78,0.10020417129157695,-0.04000000000000001
179,1.79,0.09142819560703118,-0.04000000000000001
180,1.8,0.08242369704835134,-0.04000000000000001
181,1.81,0.07321318217248222,-0.04000000000000001
182,1.82,0.06381967246987044,-0.04000000000000001
183,1.83,0.05426664682272656,-0.04000000000000001
184,1.84,0.0445779828200492,-0.04000000000000001
185,1.85,0.03477789707608672,-0.04000000000000001
186,1.86,0.024890884701412354,-0.04000000000000001
187,1.87,0.014941658077906615,-0.04000000000000001
188,1.8800000000000001,0.0049550850906715654,-0.04000000000000001
189,1.8900000000000001,-0.005043873028732087,-0.04000000000000001
190,1.9000000000000001,-0.015030224092361849,-0.04000000000000001
191,1.9100000000000001,-0.024979007423350453,-0.04000000000000001
192,1.92,-0.03486535624459591,-0.04000000000000001
193,1.93,-0.044664559832756766,-0.04000000000000001
194,1.94,-0.05435212528218848,-0.04000000000000001
195,1.95,-0.06390383872445472,-0.04000000000000001
196,1.96,-0.07329582585038567,-0.04000000000000001
197,1.97,-0.08250461158341854,-0.04000000000000001
198,1.98,-0.09150717875506426,-0.04000000000000001
199,1.99,-0.10028102563583947,-0.04000000000000001
200,2.0,-0.10880422217787396,-0.04000000000000001
201,2.0100000000000002,-0.11705546482860728,-0.04000000000000001
202,2.02,-0.1250141297785764,-0.04000000000000001
203,2.0300000000000002,-0.13266032451019988,-0.04000000000000001
204,2.04,-0.13997493751870846,-0.04000000000000001
205,2.05,-0.1469396860809591,-0.04000000000000001
206,2.06,-0.1535371619527165,-0.04000000000000001
207,2.07,-0.1597508748802001,-0.04000000000000001
208,2.08,-0.16556529381713073,-0.04000000000000001
209,2.09,-0.17096588574425656,-0.04000000000000001
210,2.1,-0.17593915199433402,-0.04000000000000001
211,2.11,-0.1804726619917646,-0.04000000000000001
212,2.12,-0.18455508432256146,-0.04000000000000001
213,2.13,-0.18817621505698146,-0.04000000000000001
214,2.14,-0.19132700325403768,-0.04000000000000001
215,2.15,-0.19399957358413572,-0.04000000000000001
216,2.16,-0.19618724601329832,-0.04000000000000001
217,2.17,-0.19788455249977022,-0.04000000000000001
218,2.18,-0.1990872506612755,-0.04000000000000001
219,2.19,-0.19979233437876337,-0.04000000000000001
220,2.2,-0.1999980413101407,-0.04000000000000001
221,2.21,-0.19970385729520912,-0.04000000000000001
222,2.22,-0.1989105176407978,-0.04000000000000001
223,2.23,-0.19762000528287962,-0.04000000000000001
224,2.24,-0.1958355458302634,-0.04000000000000001
225,2.25,-0.1935615995022523,-0.04000000000000001
226,2.2600000000000002,-0.1908038499804178,-0.04000000000000001
227,2.27,-0.18756919020235652,-0.04000000000000001
228,2.2800000000000002,-0.18386570513293501,-0.04000000000000001
229,2.29,-0.17970265155608975,-0.04000000000000001
230,2.3000000000000003,-0.17509043493768556,-0.04000000000000001
231,2.31,-0.17004058341727327,-0.04000000000000001
232,2.32,-0.16456571899374178,-0.04000000000000001
233,2.33,-0.1586795259768954,-0.04000000000000001
234,2.34,-0.15239671678380667,-0.04000000000000001
235,2.35,-0.145732995165434,-0.04000000000000001
236,2.36,-0.13870501695542475,-0.04000000000000001
237,2.37,-0.1313303484392028,-0.04000000000000001
238,2.38,-0.12362742244740695,-0.04000000000000001
239,2.39,-0.11561549228340876,-0.04000000000000001
240,2.4,-0.10731458360008701,-0.04000000000000001
241,2.41,-0.09874544434611951,-0.04000000000000001
242,2.42,-0.08992949290692032,-0.04000000000000001
243,2.43,-0.08088876456982803,-0.04000000000000001
244,2.44,-0.07164585644736575,-0.04000000000000001
245,2.45,-0.06222387099622548,-0.04000000000000001
246,2.46,-0.052646358273160214,-0.04000000000000001
247,2.47,-0.042937257072105404,-0.04000000000000001
248,2.48,-0.0331208350896619,-0.04000000000000001
249,2.49,-0.02322162826849135,-0.04000000000000001
250,2.5,-0.013264379470240152,-0.04000000000000001
251,2.5100000000000002,-0.0032739766312682855,-0.04000000000000001
252,2.52,0.006724609444227327,-0.04000000000000001
253,2.5300000000000002,0.016706387498221977,-0.04000000000000001
254,2.54,0.026646408283988433,-0.04000000000000001
255,2.5500000000000003,0.03651982692622714,-0.04000000000000001
256,2.56,0.046301965020307784,-0.04000000000000001
257,2.57,0.05596837231543489,-0.04000000000000001
258,2.58,0.0654948878275386,-0.04000000000000001
259,2.59,0.07485770022915134,-0.04000000000000001
260,2.6,0.08403340736532817,-0.04000000000000001
261,2.61,0.09299907474684393,-0.04000000000000001
262,2.62,0.10173229287447504,-0.04000000000000001
263,2.63,0.11021123325107299,-0.04000000000000001
264,2.64,0.11841470294144488,-0.04000000000000001
265,2.65,0.12632219754364774,-0.04000000000000001
266,2.66,0.13391395243932044,-0.04000000000000001
267,2.67,0.14117099219493287,-0.04000000000000001
268,2.68,0.14807517799048972,-0.04000000000000001
269,2.69,0.15460925295713204,-0.04000000000000001
270,2.7,0.16075688531032417,-0.04000000000000001
271,2.71,0.16650270917080795,-0.04000000000000001
272,2.72,0.17183236297129934,-0.04000000000000001
273,2.73,0.17673252535292705,-0.04000000000000001
274,2.74,0.1811909484616925,-0.04000000000000001
275,2.75,0.18519648856172544,-0.04000000000000001
276,2.7600000000000002,0.18873913388882096,-0.04000000000000001
277,2.77,0.19181002967463512,-0.04000000000000001
278,2.7800000000000002,0.19440150027899528,-0.04000000000000001
279,2.79,0.19650706837500193,-0.04000000000000001
280,2.8000000000000003,0.19812147113897413,-0.04000000000000001
281,2.81,0.19924067340476637,-0.04000000000000001
282,2.82,0.19986187774958353,-0.04000000000000001
283,2.83,0.1999835314860806,-0.04000000000000001
284,2.84,0.19960533054327234,-0.04000000000000001
285,2.85,0.19872822022655254,-0.04000000000000001
286,2.86,0.19735439285492273,-0.04000000000000001
287,2.87,0.19548728228133647,-0.04000000000000001
288,2.88,0.1931315553098556,-0.04000000000000001
289,2.89,0.19029310003106947,-0.04000000000000001
290,2.9,0.1869790111049365,-0.04000000000000001
