,t,k=0,k=1,k=2,k=3,k=4,k=5,k=6
85,0.85,-0.4460876837335289,-0.4460876837335289,-0.4460876837335289,-0.4460876837335289,-0.4460876837335289,-0.4460876837335289,-0.4460876837335289
86,0.86,-0.4007993733408622,-0.4007993733408622,-0.4007993733408622,-0.4007993733408622,-0.4007993733408622,-0.4007993733408622,-0.4007993733408622
87,0.87,-0.3545092733612939,-0.3545092733612939,-0.3545092733612939,-0.3545092733612939,-0.3545092733612939,-0.3545092733612939,-0.3545092733612939
88,0.88,-0.30733308492552075,-0.30733308492552075,-0.30733308492552075,-0.30733308492552075,-0.30733308492552075,-0.30733308492552075,-0.30733308492552075
89,0.89,-0.2593887239236583,-0.2593887239236583,-0.2593887239236583,-0.2593887239236583,-0.2593887239236583,-0.2593887239236583,-0.2593887239236583
90,0.9,-0.2107960262769551,-0.2107960262769551,-0.2107960262769551,-0.2107960262769551,-0.2107960262769551,-0.2107960262769551,-0.2107960262769551
91,0.91,-0.16167644841042988,-0.16167644841042988,-0.16167644841042988,-0.16167644841042988,-0.16167644841042988,-0.16167644841042988,-0.16167644841042988
92,0.92,-0.11215276367509351,-0.11215276367509351,-0.11215276367509351,-0.11215276367509351,-0.11215276367509351,-0.11215276367509351,-0.11215276367509351
93,0.93,-0.062348755478542225,-0.062348755478542225,-0.062348755478542225,-0.062348755478542225,-0.062348755478542225,-0.062348755478542225,-0.062348755478542225
94,0.9400000000000001,-0.01238890789093583,-0.01238890789093583,-0.01238890789093583,-0.01238890789093583,-0.01238890789093583,-0.01238890789093583,-0.01238890789093583
95,0.9500000000000001,0.03760190550031539,0.03760190550031539,0.03760190550031539,0.03760190550031539,0.03760190550031539,0.03760190550031539,0.03760190550031539
96,0.96,0.08749873370945388,0.08749873370945388,0.08749873370945388,0.08749873370945388,0.08749873370945388,0.08749873370945388,0.08749873370945388
97,0.97,0.13717686066473345,0.13717686066473345,0.13717686066473345,0.13717686066473345,0.13717686066473345,0.13717686066473345,0.13717686066473345
98,0.98,0.1865121169336153,0.1865121169336153,0.1865121169336153,0.1865121169336153,0.1865121169336153,0.1865121169336153,0.1865121169336153
99,0.99,0.23538119008165065,0.23538119008165065,0.23538119008165065,0.23538119008165065,0.23538119008165065,0.23538119008165065,0.23538119008165065
100,1.0,0.2836619328893148,0.2836619328893148,0.2836619328893148,0.2836619328893148,0.2836619328893148,0.2836619328893148,0.2836619328893148
101,1.01,0.3312336686564107,0.3312336686564107,0.3312336686564107,0.3312336686564107,0.3312336686564107,0.3312336686564107,0.3312336686564107
102,1.02,0.3779774928309407,0.3779774928309407,0.3779774928309407,0.3779774928309407,0.3779774928309407,0.3779774928309407,0.3779774928309407
103,1.03,0.42377657020853066,0.42377657020853066,0.42377657020853066,0.42377657020853066,0.42377657020853066,0.42377657020853066,0.42377657020853066
104,1.04,0.46851642695956375,0.46851642695956375,0.46851642695956375,0.46851642695956375,0.46851642695956375,0.46851642695956375,0.46851642695956375
105,1.05,0.5120852367541069,0.5120852367541069,0.5120852367541069,0.5120852367541069,0.5120852367541069,0.5120852367541069,0.5120852367541069
106,1.06,0.5543741002694684,0.5543741002694684,0.5543741002694684,0.5543741002694684,0.5543741002694684,0.5543741002694684,0.5543741002694684
107,1.07,0.5952773173817617,0.5952773173817617,0.5952773173817617,0.5952773173817617,0.5952773173817617,0.5952773173817617,0.5952773173817617
108,1.08,0.6346926513611394,0.6346926513611394,0.6346926513611394,0.6346926513611394,0.6346926513611394,0.6346926513611394,0.6346926513611394
109,1.09,0.6725215844103465,0.6725215844103465,0.6725215844103465,0.6725215844103465,0.6725215844103465,0.6725215844103465,0.6725215844103465
110,1.1,0.7086695639078804,0.7086695639078804,0.7086695639078804,0.7086695639078804,0.7086695639078804,0.7086695639078804,0.7086695639078804
111,1.11,0.7430462387402766,0.7430462387402766,0.7430462387402766,0.7430462387402766,0.7430462387402766,0.7430462387402766,0.7430462387402766
112,1.12,0.7755656851328147,0.7755656851328147,0.7755656851328147,0.7755656851328147,0.7755656851328147,0.7755656851328147,0.7755656851328147
113,1.1300000000000001,0.8061466214141826,0.8061466214141826,0.8061466214141826,0.8061466214141826,0.8061466214141826,0.8061466214141826,0.8061466214141826
114,1.1400000000000001,0.834712611178303,0.834712611178303,0.834712611178303,0.834712611178303,0.834712611178303,0.834712611178303,0.834712611178303
115,1.1500000000000001,0.8611922543355196,0.8611922543355196,0.8611922543355196,0.8611922543355196,0.8611922543355196,0.8611922543355196,0.8611922543355196
116,1.16,0.8855193655756175,0.8855193655756175,0.8855193655756175,0.8855193655756175,0.8855193655756175,0.8855193655756175,0.8855193655756175
117,1.17,0.9076331397966116,0.9076331397966116,0.9076331397966116,0.9076331397966116,0.9076331397966116,0.9076331397966116,0.9076331397966116
118,1.18,0.9274783040858178,0.9274783040858178,0.9274783040858178,0.9274783040858178,0.9274783040858178,0.9274783040858178,0.9274783040858178
119,1.19,0.9450052558733335,0.9450052558733335,0.9450052558733335,0.9450052558733335,0.9450052558733335,0.9450052558733335,0.9450052558733335
120,1.2,0.9601701869126161,0.9601701869126161,0.9601701869126161,0.9601701869126161,0.9601701869126161,0.9601701869126161,0.9601701869126161
121,1.21,0.9729351927782715,0.9729351927782715,0.9729351927782715,0.9729351927782715,0.9729351927782715,0.9729351927782715,0.9729351927782715
122,1.22,0.9832683676073658,0.9832683676073658,0.9832683676073658,0.9832683676073658,0.9832683676073658,0.9832683676073658,0.9832683676073658
123,1.23,0.9911438838474577,0.9911438838474577,0.9911438838474577,0.9911438838474577,0.9911438838474577,0.9911438838474577,0.9911438838474577
124,1.24,0.9965420568120199,0.9965420568120199,0.9965420568120199,0.9965420568120199,0.9965420568120199,0.9965420568120199,0.9965420568120199
125,1.25,0.9994493938818981,0.9994493938818981,0.9994493938818981,0.9994493938818981,0.9994493938818981,0.9994493938818981,0.9994493938818981
126,1.26,0.9998586282298269,0.9998586282298269,0.9998586282298269,0.9998586282298269,0.9998586282298269,0.9998586282298269,0.9998586282298269
127,1.27,0.9977687369837098,0.9977687369837098,0.9977687369837098,0.9977687369837098,0.9977687369837098,0.9977687369837098,0.9977687369837098
