,t,k=0,k=1,k=2,k=3,k=4
115,1.1500000000000001,22.50698450931286,22.50698450931286,22.50698450931286,22.50698450931286,22.50698450931286
116,1.16,22.192140298893104,22.192140298893104,22.192140298893104,22.192140298893104,22.192140298893104
117,1.17,21.90052615671806,21.90052615671806,21.90052615671806,21.90052615671806,21.90052615671806
118,1.18,21.63372167338392,21.63372167338392,21.63372167338392,21.63372167338392,21.63372167338392
119,1.19,21.393429345657385,21.393429345657385,21.393429345657385,21.393429345657385,21.393429345657385
120,1.2,21.181487945841155,21.181487945841155,21.181487945841155,21.181487945841155,21.181487945841155
121,1.21,20.999882806627845,20.999882806627845,20.999882806627845,20.999882806627845,20.999882806627845
122,1.22,20.850752174785015,20.850752174785015,20.850752174785015,20.850752174785015,20.850752174785015
123,1.23,20.73638846167246,20.73638846167246,20.73638846167246,20.73638846167246,20.73638846167246
124,1.24,20.65923286517463,20.65923286517463,20.65923286517463,20.65923286517463,20.65923286517463
125,1.25,20.621861463930376,20.621861463930376,20.621861463930376,20.621861463930376,20.621861463930376
126,1.26,20.626960507679247,20.626960507679247,20.626960507679247,20.626960507679247,20.626960507679247
127,1.27,20.677288276899848,20.677288276899848,20.677288276899848,20.677288276899848,20.677288276899848
128,1.28,20.775620607471623,20.775620607471623,20.775620607471623,20.775620607471623,20.775620607471623
129,1.29,20.92467703968986,20.92467703968986,20.92467703968986,20.92467703968986,20.92467703968986
130,1.3,21.127024647551707,21.127024647551707,21.127024647551707,21.127024647551707,21.127024647551707
131,1.31,21.38495705032506,21.38495705032506,21.38495705032506,21.38495705032506,21.38495705032506
132,1.32,21.700347040710668,21.700347040710668,21.700347040710668,21.700347040710668,21.700347040710668
133,1.33,22.07447282710082,22.07447282710082,22.07447282710082,22.07447282710082,22.07447282710082
134,1.34,22.50782021096356,22.50782021096356,22.50782021096356,22.50782021096356,22.50782021096356
135,1.35,22.99986618143909,22.99986618143909,22.99986618143909,22.99986618143909,22.99986618143909
136,1.36,23.54885338150318,23.54885338150318,23.54885338150318,23.54885338150318,23.54885338150318
137,1.37,24.151569491935795,24.151569491935795,24.151569491935795,24.151569491935795,24.151569491935795
138,1.3800000000000001,24.803150372543087,24.803150372543087,24.803150372543087,24.803150372543087,24.803150372543087
139,1.3900000000000001,25.4969301082544,25.4969301082544,25.4969301082544,25.4969301082544,25.4969301082544
140,1.4000000000000001,26.22436398324302,26.22436398324302,26.22436398324302,26.22436398324302,26.22436398324302
141,1.41,26.975050726899532,26.975050726899532,26.975050726899532,26.975050726899532,26.975050726899532
142,1.42,27.73687703485796,27.73687703485796,27.73687703485796,27.73687703485796,27.73687703485796
143,1.43,28.49629956879105,28.49629956879105,28.49629956879105,28.49629956879105,28.49629956879105
144,1.44,29.2387672445658,29.2387672445658,29.2387672445658,29.2387672445658,29.2387672445658
145,1.45,29.949270473743884,29.949270473743884,29.949270473743884,29.949270473743884,29.949270473743884
146,1.46,30.612986102822546,30.612986102822546,30.612986102822546,30.612986102822546,30.612986102822546
147,1.47,31.215970054571816,31.215970054571816,31.215970054571816,31.215970054571816,31.215970054571816
148,1.48,31.74583754293588,31.74583754293588,31.74583754293588,31.74583754293588,31.74583754293588
149,1.49,32.192366290409836,32.192366290409836,32.192366290409836,32.192366290409836,32.192366290409836
150,1.5,32.54796325910753,32.54796325910753,32.54796325910753,32.54796325910753,32.54796325910753
151,1.51,32.80794991023797,32.80794991023797,32.80794991023797,32.80794991023797,32.80794991023797
152,1.52,32.97064270333,32.97064270333,32.97064270333,32.97064270333,32.97064270333
153,1.53,33.037230532106044,33.037230532106044,33.037230532106044,33.037230532106044,33.037230532106044
154,1.54,33.01147446328361,33.01147446328361,33.01147446328361,33.01147446328361,33.01147446328361
155,1.55,32.899273373978794,32.899273373978794,32.899273373978794,32.899273373978794,32.899273373978794
156,1.56,32.70814921989171,32.70814921989171,32.70814921989171,32.70814921989171,32.70814921989171
157,1.57,32.446707015948206,32.446707015948206,32.446707015948206,32.446707015948206,32.446707015948206
158,1.58,32.124118326555106,32.124118326555106,32.124118326555106,32.124118326555106,32.124118326555106
159,1.59,31.74966555950739,31.74966555950739,31.74966555950739,31.74966555950739,31.74966555950739
160,1.6,31.332370520621083,31.332370520621083,31.332370520621083,31.332370520621083,31.332370520621083
161,1.61,30.880717143406347,30.880717143406347,30.880717143406347,30.880717143406347,30.880717143406347
162,1.62,30.402466956119007,30.402466956119007,30.402466956119007,30.402466956119007,30.402466956119007
163,1.6300000000000001,29.904557683739032,29.904557683739032,29.904557683739032,29.904557683739032,29.904557683739032
164,1.6400000000000001,29.39307058583232,29.39307058583232,29.39307058583232,29.39307058583232,29.39307058583232
165,1.6500000000000001,28.87325030023321,28.87325030023321,28.87325030023321,28.87325030023321,28.87325030023321
166,1.6600000000000001,28.349561381675343,28.349561381675343,28.349561381675343,28.349561381675343,28.349561381675343
